STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
ANDAMAN & NICOBAR ,2018,PSYCHOACTIVE SUBSTANCE USE,22,0,380581,0.031438177,,-0.019206635,-3.41191E-07,-0.791652472
ARUNACHAL PRADESH,2018,PSYCHOACTIVE SUBSTANCE USE,0,0,1383727,0.114303798,,-0.406330746,-3.41191E-07,-0.771051192
ASSAM,2018,PSYCHOACTIVE SUBSTANCE USE,0,0,31205576,2.577759816,,-0.406330746,-3.41191E-07,-0.158609682
BIHAR,2018,PSYCHOACTIVE SUBSTANCE USE,8,8,104099452,8.599212662,,-0.265558342,-5.60304E-08,1.338387887
CHANDIGARH,2018,PSYCHOACTIVE SUBSTANCE USE,70,3,1055450,0.087186232,,0.82542779,-2.34256E-07,-0.777792909
CHHATTISGARH,2018,PSYCHOACTIVE SUBSTANCE USE,99,7,25545198,2.110180081,,1.335727755,-9.16755E-08,-0.274855004
DELHI,2018,PSYCHOACTIVE SUBSTANCE USE,11,2,16787941,1.386780353,,-0.212768691,-2.69901E-07,-0.454699913
DAMAN & DIU,2018,PSYCHOACTIVE SUBSTANCE USE,0,0,585764,0.048387471,,-0.406330746,-3.41191E-07,-0.787438696
GOA,2018,PSYCHOACTIVE SUBSTANCE USE,3,0,1458545,0.120484195,,-0.353541095,-3.41191E-07,-0.769514679
GUJARAT,2018,PSYCHOACTIVE SUBSTANCE USE,9,2,60439692,4.992665713,,-0.247961792,-2.69901E-07,0.441761748
HARYANA,2018,PSYCHOACTIVE SUBSTANCE USE,5,0,25351462,2.094176375,,-0.318347994,-3.41191E-07,-0.278833697
HIMACHAL PRADESH,2018,PSYCHOACTIVE SUBSTANCE USE,69,8,6864602,0.567055554,,0.807831239,-5.60304E-08,-0.658492264
JHARKHAND,2018,PSYCHOACTIVE SUBSTANCE USE,12,17,32988134,2.725009346,,-0.19517214,2.64776E-07,-0.122001874
KARNATAKA,2018,PSYCHOACTIVE SUBSTANCE USE,57,4,61095297,5.046822451,,0.596672633,-1.98611E-07,0.455225693
KERALA,2018,PSYCHOACTIVE SUBSTANCE USE,6,1,33406061,2.759532516,,-0.300751443,-3.05546E-07,-0.113419045
LAKSHADWEEP,2018,PSYCHOACTIVE SUBSTANCE USE,0,0,64473,0.00532584,,-0.406330746,-3.41191E-07,-0.798144278
MADHYA PRADESH,2018,PSYCHOACTIVE SUBSTANCE USE,2,0,72626809,5.999391577,,-0.371137645,-3.41191E-07,0.692044564
MAHARASTRA,2018,PSYCHOACTIVE SUBSTANCE USE,190,6,112374333,9.282765362,,2.937013851,-1.27321E-07,1.508326398
MANIPUR,2018,PSYCHOACTIVE SUBSTANCE USE,3,0,2570390,0.212328978,,-0.353541095,-3.41191E-07,-0.746681084
MEGHALAYA,2018,PSYCHOACTIVE SUBSTANCE USE,36,5,2966889,0.245082073,,0.227145072,-1.62966E-07,-0.738538314
MIZORAM,2018,PSYCHOACTIVE SUBSTANCE USE,14,0,1097206,0.090635518,,-0.159979039,-3.41191E-07,-0.776935379
