STATE,YEAR,INTAKE_CAPACITY_MALE,INTAKE_CAPACITY_FEMALE,TOTAL_INTAKE,OCCUPANCY_MALE,OCCUPANCY_FEMALE,TOTAL_OCCUPANCY
ANDAMAN & NICOBAR,2018,2,2,4,0,0,0
ANDHRA PRADESH,2018,65,20,85,54,313,367
ASSAM,2018,381,354,735,158,202,360
BIHAR,2018,100,100,200,84,72,156
CHANDIGARH,2018,15,15,30,12,3,15
CHHATTISGARH,2018,110,100,210,110,100,210
DAMAN & DIU,2018,408,379,787,316,313,629
DELHI,2018,55,185,240,52,132,184
GOA,2018,70,60,130,26,22,48
GUJARAT,2018,325,50,375,36,14,50
HARYANA,2018,72,72,144,0,0,0
HIMACHAL PRADESH,2018,25,25,50,22,23,45
JHARKHAND,2018,40,40,80,24,35,59
KARNATAKA,2018,10,15,25,9,12,21
KERALA,2018,6563,5477,12040,5334,4436,9770
MADHYA PRADESH,2018,25,120,145,2,99,101
MAHARASTRA,2018,265,290,555,75,65,140
MANIPUR,2018,42,33,75,35,33,68
MEGHALAYA,2018,45,25,70,35,25,60
MIZORAM,2018,0,80,80,0,7,7
ODISHA,2018,344,760,1104,317,699,1016
PUDUCHERRY,2018,10,10,20,0,2,2
PUNJAB,2018,50,75,125,26,73,99
RAJASTHAN,2018,67,464,531,43,184,227
SIKKIM,2018,390,147,537,303,59,362
TAMIL NADU,2018,3173,2996,6169,2750,2609,5359
TELANGANA,2018,71,54,125,62,45,107
TRIPURA,2018,25,25,50,0,0,0
UTTARAKHAND,2018,0,75,75,0,127,127
WEST BENGAL,2018,112,98,210,68,63,131
ANDAMAN & NICOBAR,2019,2,2,4,0,0,0
ANDHRA PRADESH,2019,65,20,85,54,313,367
ASSAM,2019,381,354,735,158,202,360
BIHAR,2019,100,100,200,84,72,156
CHANDIGARH,2019,15,15,30,12,3,15
CHHATTISGARH,2019,110,100,210,110,100,210
DAMAN & DIU,2019,408,379,787,316,313,629
DELHI,2019,55,185,240,52,132,184
GOA,2019,70,60,130,26,22,48
GUJARAT,2019,325,50,375,36,14,50
HARYANA,2019,72,72,144,0,0,0
HIMACHAL PRADESH,2019,25,25,50,22,23,45
KARNATAKA,2019,10,15,25,9,12,21
KERALA,2019,6563,5477,12040,5334,4436,9770
MADHYA PRADESH,2019,25,120,145,2,99,101
MAHARASTRA,2019,265,290,555,75,65,140
MANIPUR,2019,42,33,75,35,33,68
MEGHALAYA,2019,45,25,70,35,25,60
MIZORAM,2019,0,80,80,0,7,7
ODISHA,2019,344,760,1104,317,699,1016
PUDUCHERRY,2019,10,10,20,0,2,2
PUNJAB,2019,50,75,125,26,73,99
RAJASTHAN,2019,67,464,531,43,184,227
SIKKIM,2019,390,147,537,303,59,362
TAMIL NADU,2019,3173,2996,6169,2750,2609,5359
TELANGANA,2019,71,54,125,62,45,107
TRIPURA,2019,25,25,50,0,0,0
UTTAR PRADESH,2019,96,154,250,77,138,215
UTTARAKHAND,2019,0,75,75,0,127,127
WEST BENGAL,2019,112,98,210,68,63,131
ANDAMAN & NICOBAR,2020,2,2,4,0,0,0
ANDHRA PRADESH,2020,65,20,85,54,313,367
ASSAM,2020,381,354,735,158,202,360
BIHAR,2020,100,100,200,84,72,156
CHANDIGARH,2020,15,15,30,12,3,15
CHHATTISGARH,2020,110,100,210,110,100,210
DAMAN & DIU,2020,408,379,787,316,313,629
DELHI,2020,55,185,240,52,132,184
GOA,2020,70,60,130,26,22,48
GUJARAT,2020,325,50,375,36,14,50
HARYANA,2020,72,72,144,0,0,0
HIMACHAL PRADESH,2020,25,25,50,22,23,45
JHARKHAND,2020,40,40,80,24,35,59
KARNATAKA,2020,10,15,25,9,12,21
KERALA,2020,6563,5477,12040,5334,4436,9770
MADHYA PRADESH,2020,25,120,145,2,99,101
MANIPUR,2020,42,33,75,35,33,68
MEGHALAYA,2020,45,25,70,35,25,60
MIZORAM,2020,0,80,80,0,7,7
PUDUCHERRY,2020,344,760,1104,317,699,1016
PUNJAB,2020,10,10,20,0,2,2
RAJASTHAN,2020,50,75,125,26,73,99
SIKKIM,2020,67,464,531,43,184,227
TAMIL NADU,2020,390,147,537,303,59,362
TELANGANA,2020,3173,2996,6169,2750,2609,5359
TRIPURA,2020,71,54,125,62,45,107
UTTAR PRADESH,2020,25,25,50,0,0,0
UTTARAKHAND,2020,0,75,75,0,127,127
WEST BENGAL,2020,112,98,210,68,63,131
